number;GR4J;LSTM
0;0.823292842;0.857566678
1;0.896844649;0.901721775
2;0.847461105;0.829187533
3;0.884803728;0.87761877
4;0.872865222;0.927282155
5;0.887138731;0.920356456
6;0.9049714;0.911761665
7;0.915492007;0.933410671
8;0.912316949;0.936886138
9;0.822417334;0.874963958
10;-0.449036061;0.44042796
11;0.803735211;0.807355414
12;0.887905017;0.864707743
13;0.89646416;0.88100987
14;0.801312789;0.842232744
15;0.835951216;0.694676828
16;0.741435259;0.882702286
17;0.695346401;0.833206249
18;0.55991081;0.544117785
19;0.861560344;0.88160499
20;0.873823578;0.912275905
21;0.815108878;0.827201093
22;0.914904074;0.952304142
23;0.932233657;0.956789994
24;0.843119071;0.828207205
25;0.85021479;0.864460887
26;0.835563465;0.862468713
27;-0.420951809;-0.071333594
28;0.666775603;0.726454016
29;0.83819223;0.849242766
30;0.883600819;0.906997589
31;0.84793698;0.867526754
32;0.866286919;0.888523298
33;0.870497629;0.834368239
34;0.743744505;0.680958885
35;0.892048437;0.911978831
36;0.883339043;0.90360348
37;0.848954409;0.870937442
38;0.769634881;0.768314454
39;0.825111389;0.80197243
40;0.338958152;0.559237004
41;0.58595637;0.666121425
42;0.680098619;0.698278433
43;0.686480576;0.765062801
44;0.831842872;0.837541175
45;0.781942292;0.90947798
46;0.803529287;0.848910864
47;0.884477571;0.615658314
48;0.517599034;-0.827563719
49;0.918622161;0.816968917
50;0.809176613;0.74859198
51;0.921063136;0.953712946
52;0.724767135;0.889085099
53;0.555108347;0.752596348
54;0.849974147;0.772767905
55;0.64681815;0.65548269
56;0.918130266;0.923140641
57;0.818968051;0.810931219
58;0.733853681;0.751211267
59;0.618788627;0.647497624
60;0.66735776;0.524165484
61;-5.944197792;-8.235900238
62;0.599721486;-0.106989724
63;0.707636495;0.595522641
64;0.74051924;0.754869125
65;0.740660187;0.798837473
66;0.837525552;0.91016034
67;0.841096361;0.67757372
68;0.576121707;0.59105226
69;0.552656528;0.653049837
70;0.866448626;0.869813518
71;0.309146059;-1.322357676
72;0.687339557;0.470417912
73;0.424782511;0.219032195
74;0.631874912;0.767518066
75;0.395310081;-0.103645414
76;0.710710202;0.766876683
77;0.844106283;0.894150901
78;-0.551069833;-0.665501678
79;0.608381385;-0.526911676
80;0.79647489;0.844073114
81;0.52518367;-0.253920464
82;0.763410497;0.74069484
83;0.813841184;0.868903374
84;0.712894636;0.661397817
85;0.713062483;0.757054246
86;0.669896227;0.858985181
87;0.647727302;-0.041151608
88;0.718473073;0.766531049
89;0.226486994;0.391313405
90;0.624555383;0.788488063
91;0.584522689;0.717495402
92;0.391999764;0.651303017
93;0.78067862;-0.250723441
94;0.939390224;0.885374108
95;0.928515706;0.90912165
96;0.885845257;0.937044509
97;0.910148003;0.91578005
98;0.935440083;0.935210691
99;0.961518313;0.953463077
100;0.830111242;0.821952614
101;0.960356664;0.920075134
102;0.65716988;0.765786965
103;0.790532371;0.80117617
104;0.649428321;0.604320677
105;0.599694867;0.52947342
106;0.682142556;0.719057902
107;0.945465878;0.948521219
108;0.705688966;0.655549358
109;0.723878204;0.69558392
110;0.694240617;0.67513309
111;0.626961154;0.387004975
112;0.829112346;0.901600352
113;0.686202079;0.729561684
114;0.705783049;0.679029484
115;0.707189238;0.64241997
116;0.758483471;0.858255302
117;0.844521023;0.85890861
118;0.853880931;0.892009158
119;0.822694454;0.802572434
120;0.704306248;0.808200566
121;0.70175788;0.716978191
122;0.75193208;0.819661317
123;0.737759279;0.720398982
124;-3.248347624;-4.307334834
125;0.744575181;0.794247151
126;0.619406348;0.626144152
127;0.845599714;0.805650135
128;0.937557177;0.940551306
129;0.850605042;0.875550628
130;0.88368704;0.921483589
131;0.753037415;0.91042692
132;0.913124761;0.935950101
133;0.943488;0.929211085
134;0.90192556;0.883540019
135;0.844332817;0.879582535
136;0.798490738;0.819279858
137;0.79754417;0.810888224
138;0.891167013;0.914020078
139;0.907977432;0.937533981
140;0.901508776;0.92641699
141;0.796917472;0.762563636
142;0.774284135;0.783511721
143;0.921996901;0.933310666
144;0.891089704;0.869999511
145;0.872050197;0.883091716
146;0.831132596;0.769661886
147;0.787922574;0.837904969
148;0.602950293;0.669846337
149;0.779675925;0.742066259
150;0.747155244;0.811076595
151;0.747170529;0.861734776
152;0.787508668;0.870968616
153;0.711878284;0.830595107
154;0.689797827;0.806594701
155;0.830857986;0.812383742
156;0.863030848;0.87568598
157;0.743291033;0.785903002
158;0.803176625;0.900676251
159;0.700057057;0.664113142
160;0.705441461;0.654876771
