basin;GR4J
A105003001;0.821
A107020001;0.781
A116003002;0.889
A202030001;0.798
A211030001;0.702
A231020001;0.865
A234021001;0.776
A251020001;0.829
A273011002;0.822
A284020001;0.729
A330010001;0.761
A369011001;0.684
A373020001;0.783
A380020001;0.317
A420063001;0.848
A436203001;0.864
A443064001;0.879
A543101001;0.866
A550061001;0.904
A605102001;0.811
A673122001;0.809
A807101001;0.667
A843101001;0.853
A850061001;0.92
A901305050;0.826
A907105050;0.866
A926000101;0.817
A983201001;0.806
B022001001;0.871
B109201001;0.848
B115001001;0.874
B128201001;0.825
B134001001;0.877
B222001001;0.915
B315002001;0.92
B403101001;0.739
B413201001;0.693
B422431001;0.658
B460101001;0.761
B463101001;0.676
B720000002;0.856
D020601001;0.738
E430601001;0.707
E530021001;0.746
E540031001;0.73
E540651001;0.636
E550572001;0.512
E639701001;0.442
F416000201;0.84
F439000101;0.846
F453000101;0.394
F462000101;0.244
F467000101;0.351
F474000102;0.743
G111041010;0.807
G600061010;0.222
H010001001;0.915
H010002001;0.933
H020302002;0.893
H030101001;0.854
H032103001;0.918
H050301001;0.847
H120101001;0.878
H206201001;0.877
H207311001;0.834
H226000201;-1.206
H247301001;0.836
H305000101;0.634
H318041010;0.585
H325041010;0.633
H332201001;0.795
H403021010;0.291
H413041010;0.288
H416021010;-0.23
H438021010;0.081
H503331001;0.812
H504201001;0.906
H506201001;0.895
H510203001;0.853
H512234001;0.872
H514261001;0.834
H514262001;0.784
H517311001;0.804
H602021010;0.763
H611061010;0.601
H612201001;0.884
H616201001;0.886
H620101001;0.887
H622101001;0.906
H623302001;0.854
H631302001;0.842
H640203001;0.824
H642301001;0.552
H703301001;0.852
H740101001;0.806
H741321001;0.586
H774201001;0.498
H774202001;0.535
I103101001;0.687
I200101001;0.78
I202101001;0.814
I403201001;0.885
I505301001;0.872
I532151001;0.781
J001401001;0.667
J014401001;0.708
J032301001;0.725
J061161001;0.9
J110301001;0.925
J111401001;0.889
J131301001;0.815
J132401001;0.915
J151301001;0.894
J171171001;0.934
J181301001;0.917
J202301001;0.855
J203401001;0.925
J221311001;0.816
J223301001;0.917
J231491001;0.898
J240401001;0.826
J251401001;0.828
J260301001;0.914
J260541001;0.848
J261401002;0.911
J272301001;0.925
J302401001;0.84
J320571001;0.888
J321302002;0.838
J332302002;0.883
J340302001;0.807
J340411001;0.925
